Unnamed: 0,number_of_syllables,number_of_pauses,rate_of_speech,articulation_rate,speaking_duration,original_duration,balance,f0_mean,f0_std,f0_median,f0_min,f0_max,f0_quantile25,f0_quan75,pronunciation_score_percentage,name_of_audio,speaking_time
0,139,11,3,5,30.8,43.6,0.7,227.95,56.11,219.3,73,420,191,266,85.24,E2_P1.wav,25.026
1,581,37,4,5,113.8,143.6,0.8,207.09,47.44,203.7,80,421,174,227,94.99,E3_P1.wav,50.052
2,223,15,4,5,45.5,57.2,0.8,231.78,57.89,221.6,72,420,196,262,94.94,E2_P10.wav,25.026
3,202,16,4,5,42.1,54.2,0.8,235.23,56.2,224.8,75,420,200,272,94.98,E2_P11.wav,25.026
4,366,22,4,5,69.3,85.8,0.8,211.45,48.66,206.4,77,414,177,234,95.09,E3_P11.wav,50.052
5,148,8,4,5,28.4,36.6,0.8,200.5,58.06,197.8,71,396,173,225,95.07,E1_P12.wav,25.026
6,130,5,4,5,27.5,34.9,0.8,229.27,54.15,214.0,80,415,192,261,95.03,E2_P12.wav,50.052
7,151,15,3,5,32.8,44.6,0.7,214.08,61.96,208.1,71,412,181,249,85.09,E2_P13.wav,25.026
8,361,22,4,5,71.8,94.6,0.8,213.33,50.96,204.7,78,418,178,240,95.06,E3_P13.wav,50.052
9,467,25,4,5,92.1,120.3,0.8,216.31,48.01,208.8,80,395,184,241,100.0,E3_P15.wav,25.026
10,177,15,4,5,36.3,47.5,0.8,231.91,55.29,222.6,72,403,192,268,94.92,E2_P3.wav,25.026
11,106,10,4,5,21.0,30.0,0.7,190.29,52.83,197.5,77,385,171,221,94.94,E1_P4.wav,25.026
12,98,5,4,5,20.8,26.5,0.8,230.29,54.86,219.3,73,415,194,269,95.03,E2_P4.wav,50.052
13,158,13,4,5,31.8,44.2,0.7,200.05,59.21,199.9,73,416,176,232,94.99,E1_P5.wav,25.026
14,142,13,3,5,30.4,42.2,0.7,224.86,58.98,214.0,74,415,189,264,85.21,E2_P5.wav,50.052
15,873,59,4,5,180.4,238.0,0.8,209.54,45.52,201.9,76,421,178,228,94.92,E3_P5.wav,75.078
16,129,12,4,5,25.4,35.8,0.7,192.83,63.05,197.1,71,395,157,233,95.09,E1_P6.wav,25.026
17,123,12,4,5,24.6,33.9,0.7,187.96,55.08,187.9,74,419,159,219,94.94,E1_P7.wav,25.026
18,112,9,4,5,23.2,31.3,0.7,204.29,54.07,199.6,78,421,177,229,100.0,E1_P8.wav,25.026
19,114,6,4,5,23.9,30.6,0.8,227.64,55.1,218.6,76,419,196,257,95.0,E2_P8.wav,50.052
